Tárgykód,Tárgy név,Követelmény,Tárgy kredit,S/O,Félév,Kurzus kód,Kurzus típus,Telephely,Leírás,Létszám,Órarend infó,Órarendi igények,Oktatók,,,,,,,,
BMEVIAUMB07,Alkalmazásfejlesztés,Vizsga,5,S/O,2023/24/1,GY,Gyakorlat/ -/ -,,,0/0/0,CS:08:15-10:00,,"Dr. Blázovics László,   Dr. Csorba Kristóf",,,,,,,,1097088241
BMEVIAUMA09,Alkalmazásfejlesztés,Vizsga,4,S/O,2023/24/1,EA,Elmélet/ -/ -,,,1/0/80,H:10:15-12:00(QBF14),,"Dr. Blázovics László,   Dr. Csorba Kristóf",,,,,,,,1113618649
BMEVIAUMB07,Alkalmazásfejlesztés,Vizsga,5,S/O,2023/24/1,EA,Elmélet/ -/ -,,,0/0/0,H:10:15-12:00,,"Dr. Blázovics László,   Dr. Csorba Kristóf",,,,,,,,1097088154
BMEVIAUMA09,Alkalmazásfejlesztés,Vizsga,4,S/O,2023/24/1,Gy,Gyakorlat/ -/ -,,,1/0/80,CS:08:15-10:00(QBF14),,"Dr. Blázovics László,   Dr. Csorba Kristóf",,,,,,,,1113618716
BMEVIAUAC04,Alkalmazásfejlesztési környezetek,Vizsga,4,S/O,2023/24/1,@,Vizsgakurzus/ -/ -,,,1/0/20,,,"Dr. Csorba Kristóf,   Bányász Gábor,   Kövesdán Gábor",,,,,,,,1106749006
BMEVIAUM026,Diplomatervezés A,Évközi jegy,15,O,2023/24/1,Gy,Gyakorlat/ -/ -,,,12/0/30,,,"Dr. Kővári Bence András,   Dr. Sütő Zoltán,   Dr. Tevesz Gábor,...",,,,,,,,1105766240
BMEVIAUM027,Diplomatervezés B,Évközi jegy,15,O,2023/24/1,GY,Gyakorlat/ -/ -,,,16/0/60,,,"Dr. Kővári Bence András,   Dr. Tevesz Gábor,   Dr. Csorba Kristóf,...",,,,,,,,1105766468
BMEVIAUM027,Diplomatervezés B,Évközi jegy,15,O,2023/24/1,A01Gy23os,Gyakorlat/ Speciális kurzus/ Speciális kurzus,,,0/0/999,,,"Dr. Csorba Kristóf,   Dr. Kovács Tibor,   Dr. Kővári Bence András,...",,,,,,,,1094177479
BMEVIAUMT12,Diplomatervezés 1,Évközi jegy,10,O,2023/24/1,GY,Gyakorlat/ -/ -,,,1/0/100,,,"Dr. Csorba Kristóf,   Dr. Kővári Bence András",,,,,,,,1108197033
BMEVIAUMT10,Diplomatervezés 1,Évközi jegy,10,O,2023/24/1,GY,Gyakorlat/ -/ -,,,0/0/100,,,"Dr. Csorba Kristóf,   Dr. Kővári Bence András",,,,,,,,1108195707
BMEVIAUMT02,Diplomatervezés 1,Évközi jegy,10,O,2023/24/1,AGY,Gyakorlat/ -/ -,,,3/0/25,,,"Dr. Kovács Tibor,   Dr. Kővári Bence András,   Dr. Csorba Kristóf",,,,,,,,1105765468
BMEVIAUMT02,Diplomatervezés 1,Évközi jegy,10,O,2023/24/1,Gy,Gyakorlat/ -/ -,,,4/0/100,,,"Dr. Csorba Kristóf,   Dr. Kővári Bence András",,,,,,,,1105765480
BMEVIAUMT12,Diplomatervezés 1,Évközi jegy,10,O,2023/24/1,AGY,Gyakorlat/ -/ -,,,0/0/30,,,"Dr. Csorba Kristóf,   Dr. Kővári Bence András,   Dr. Kovács Tibor",,,,,,,,1108207007
